forecast_item,date,volume,reg_name,reg_value
FI: 34142,2020-04-01,673,0,0
FI: 34142,2020-05-01,559,0,0
FI: 34142,2020-06-01,913,0,0
FI: 34142,2020-07-01,637,0,0
FI: 515188,2014-11-01,4687,0,0
FI: 515188,2014-12-01,6260,0,0
FI: 515188,2015-01-01,6515,0,0
FI: 515188,2015-02-01,4615,0,0
FI: 515188,2015-03-01,5615,0,0
FI: 515188,2015-04-01,6867,0,0
FI: 515188,2015-05-01,4761,0,0
FI: 515188,2015-06-01,5793,0,0
FI: 515188,2015-07-01,6702,0,0
FI: 515188,2015-08-01,4917,0,0
FI: 515188,2015-09-01,5885,0,0
FI: 515188,2015-10-01,7130,0,0
FI: 515188,2015-11-01,5278,0,0
FI: 515188,2015-12-01,7393,0,0
FI: 515188,2016-01-01,5820,0,0
FI: 515188,2016-02-01,5302,0,0
FI: 515188,2016-03-01,5953,0,0
FI: 515188,2016-04-01,6802,0,0
FI: 515188,2016-05-01,5475,0,0
FI: 515188,2016-06-01,6154,0,0
FI: 515188,2016-07-01,6581,0,0
FI: 515188,2016-08-01,5765,0,0
FI: 515188,2016-09-01,6131,0,0
FI: 515188,2016-10-01,7104,0,0
FI: 515188,2016-11-01,5579,0,0
FI: 515188,2016-12-01,6892,0,0
FI: 515188,2017-01-01,5958,0,0
FI: 515188,2017-02-01,5032,0,0
FI: 515188,2017-03-01,6274,0,0
FI: 515188,2017-04-01,6167,0,0
FI: 515188,2017-05-01,5956,0,0
FI: 515188,2017-06-01,7003,0,0
FI: 515188,2017-07-01,5456,0,0
FI: 515188,2017-08-01,5798,0,0
FI: 515188,2017-09-01,7015,0,0
FI: 515188,2017-10-01,6106,0,0
FI: 515188,2017-11-01,6036,0,0
FI: 515188,2017-12-01,7788,0,0
FI: 515188,2018-01-01,5610,0,0
FI: 515188,2018-02-01,5500,0,0
FI: 515188,2018-03-01,7271,0,0
FI: 515188,2018-04-01,5441,0,0
FI: 515188,2018-05-01,5996,0,0
FI: 515188,2018-06-01,7214,0,0
FI: 515188,2018-07-01,5881,0,0
FI: 515188,2018-08-01,6467,0,0
FI: 515188,2018-09-01,6590,0,0
FI: 515188,2018-10-01,4330,FI: 515188-Competitor,-1
FI: 515188,2018-11-01,6233,0,0
FI: 515188,2018-12-01,7259,0,0
FI: 515188,2019-01-01,4165,FI: 515188-Competitor1,-1
FI: 515188,2019-02-01,5630,0,0
FI: 515188,2019-03-01,6213,0,0
FI: 515188,2019-04-01,5174,0,0
FI: 515188,2019-05-01,6443,0,0
FI: 515188,2019-06-01,6080,0,0
FI: 515188,2019-07-01,6674,0,0
FI: 515188,2019-08-01,6218,0,0
FI: 515188,2019-09-01,6782,0,0
FI: 515188,2019-10-01,6948,0,0
FI: 515188,2019-11-01,6316,0,0
FI: 515188,2019-12-01,8218,0,0
FI: 515188,2020-01-01,6166,0,0
FI: 515188,2020-02-01,5632,0,0
FI: 515188,2020-03-01,8028,0,0
FI: 515188,2020-04-01,5386,0,0
FI: 515188,2020-05-01,6102,0,0
FI: 515188,2020-06-01,6898,0,0
FI: 515188,2020-07-01,6611,0,0
FI: 592905,2014-11-01,7014,0,0
FI: 592905,2014-12-01,8551,0,0
